source,target,value,link,nodes
Injury  Eye and or Orbit , Proc trtmt not crd out bec pt decision for unsp reasons,2,"{source:""Injury Eye and or Orbit"", target:""Proc trtmt not crd out bec pt decision for unsp reasons"", value: 2}",
Injury  Face , Abrasion of other part of head initial encounter,2,"{source:""Injury Face"", target:""Abrasion of other part of head initial encounter"", value: 2}",
Injury  Face , Laceration without foreign body of scalp initial encounter,2,"{source:""Injury Face"", target:""Laceration without foreign body of scalp initial encounter"", value: 2}",
Injury  Face , Syncope and collapse,2,"{source:""Injury Face"", target:""Syncope and collapse"", value: 2}",
Injury  Foot , Other acute postprocedural pain,2,"{source:""Injury Foot"", target:""Other acute postprocedural pain"", value: 2}",
Injury  Foot , Unsp fracture of left calcaneus init for clos fx,2,"{source:""Injury Foot"", target:""Unsp fracture of left calcaneus init for clos fx"", value: 2}",
Injury  Forearm , Colles' fracture of left radius init for clos fx,2,"{source:""Injury Forearm"", target:""Colles""fracture of left radius init for clos fx"", value: 2}",
Injury  Head , Abrasion of scalp initial encounter,2,"{source:""Injury Head"", target:""Abrasion of scalp initial encounter"", value: 2}",
Injury  Head , Alcohol abuse with intoxication unspecified,2,"{source:""Injury Head"", target:""Alcohol abuse with intoxication unspecified"", value: 2}",
Injury  Head , Contusion of other part of head initial encounter,2,"{source:""Injury Head"", target:""Contusion of other part of head initial encounter"", value: 2}",
Injury  Head , Disp fx of lateral end of right clavicle init for clos fx,2,"{source:""Injury Head"", target:""Disp fx of lateral end of right clavicle init for clos fx"", value: 2}",
Injury  Head , Fracture of nasal bones init encntr for closed fracture,2,"{source:""Injury Head"", target:""Fracture of nasal bones init encntr for closed fracture"", value: 2}",
Injury  Head , Laceration without foreign body of scalp subs encntr,2,"{source:""Injury Head"", target:""Laceration without foreign body of scalp subs encntr"", value: 2}",
Injury  Head , Syncope and collapse,2,"{source:""Injury Head"", target:""Syncope and collapse"", value: 2}",
Injury  Head , Syndrome of inappropriate secretion of antidiuretic hormone,2,"{source:""Injury Head"", target:""Syndrome of inappropriate secretion of antidiuretic hormone"", value: 2}",
Injury  Head , Unsp fracture of the lower end of right radius init,2,"{source:""Injury Head"", target:""Unsp fracture of the lower end of right radius init"", value: 2}",
Injury  Head , Unsp intracranial injury w LOC of unsp duration init,2,"{source:""Injury Head"", target:""Unsp intracranial injury w LOC of unsp duration init"", value: 2}",
Injury  Head without L.O.C. , Laceration without foreign body of scalp subs encntr,2,"{source:""Injury Head without L.O.C."", target:""Laceration without foreign body of scalp subs encntr"", value: 2}",
Injury  Hip , Displ suprcndl fx w o intrcndl extn lower end r femur init,2,"{source:""Injury Hip"", target:""Displ suprcndl fx w o intrcndl extn lower end r femur init"", value: 2}",
Injury  Hip , Fracture of superior rim of left pubis init for clos fx,2,"{source:""Injury Hip"", target:""Fracture of superior rim of left pubis init for clos fx"", value: 2}",
Injury  Hip , Multiple fx of pelvis w stable disrupt of pelvic ring init,2,"{source:""Injury Hip"", target:""Multiple fx of pelvis w stable disrupt of pelvic ring init"", value: 2}",
Injury  Hip , Oth fracture of head and neck of right femur init,2,"{source:""Injury Hip"", target:""Oth fracture of head and neck of right femur init"", value: 2}",
Injury  Hip , Pain in left hip,2,"{source:""Injury Hip"", target:""Pain in left hip"", value: 2}",
Injury  Hip , Unsp trochanteric fracture of right femur init for clos fx,2,"{source:""Injury Hip"", target:""Unsp trochanteric fracture of right femur init for clos fx"", value: 2}",
Injury  Lower Back , Collapsed vertebra NEC lumbar region init,2,"{source:""Injury Lower Back"", target:""Collapsed vertebra NEC lumbar region init"", value: 2}",
Injury  Lower Back , Concussion without loss of consciousness initial encounter,2,"{source:""Injury Lower Back"", target:""Concussion without loss of consciousness initial encounter"", value: 2}",
Injury  Lower Back , Nondisp fx of triquetrum bone left wrist init for clos fx,2,"{source:""Injury Lower Back"", target:""Nondisp fx of triquetrum bone left wrist init for clos fx"", value: 2}",
Injury  Lower Back , Oth fracture of first lumbar vertebra init for clos fx,2,"{source:""Injury Lower Back"", target:""Oth fracture of first lumbar vertebra init for clos fx"", value: 2}",
Injury  Lower Back , Oth fracture of fourth lumbar vertebra init for clos fx,2,"{source:""Injury Lower Back"", target:""Oth fracture of fourth lumbar vertebra init for clos fx"", value: 2}",
Injury  Lower Back , Oth fracture of second lumbar vertebra init for clos fx,2,"{source:""Injury Lower Back"", target:""Oth fracture of second lumbar vertebra init for clos fx"", value: 2}",
Injury  Lower Back , Pain in thoracic spine,2,"{source:""Injury Lower Back"", target:""Pain in thoracic spine"", value: 2}",
Injury  Lower Back , Radiculopathy lumbar region,2,"{source:""Injury Lower Back"", target:""Radiculopathy lumbar region"", value: 2}",
Injury  Lower Back , Stable burst fracture of fourth lumbar vertebra init,2,"{source:""Injury Lower Back"", target:""Stable burst fracture of fourth lumbar vertebra init"", value: 2}",
Injury  Lower Back , Stable burst fracture of T11 T12 vertebra init for clos fx,2,"{source:""Injury Lower Back"", target:""Stable burst fracture of T11 T12 vertebra init for clos fx"", value: 2}",
Injury  Lower Back , Strain of muscle fascia and tendon of lower back init,2,"{source:""Injury Lower Back"", target:""Strain of muscle fascia and tendon of lower back init"", value: 2}",
Injury  Lower Back , Traum subdr hem w o loss of consciousness init,2,"{source:""Injury Lower Back"", target:""Traum subdr hem w o loss of consciousness init"", value: 2}",
Injury  Lower Back , Unsp fracture of first lumbar vertebra init for clos fx,2,"{source:""Injury Lower Back"", target:""Unsp fracture of first lumbar vertebra init for clos fx"", value: 2}",
Injury  Lower Back , Wedge compression fracture of T11 T12 vertebra init,2,"{source:""Injury Lower Back"", target:""Wedge compression fracture of T11 T12 vertebra init"", value: 2}",
Injury  Lower leg , Age rel osteopor w current path fracture right femur init,2,"{source:""Injury Lower leg"", target:""Age rel osteopor w current path fracture right femur init"", value: 2}",
Injury  Lower leg , Candidal stomatitis,2,"{source:""Injury Lower leg"", target:""Candidal stomatitis"", value: 2}",
Injury  Lower leg , Cellulitis of left lower limb,2,"{source:""Injury Lower leg"", target:""Cellulitis of left lower limb"", value: 2}",
Injury  Lower leg , Displaced bicondylar fracture of right tibia init,2,"{source:""Injury Lower leg"", target:""Displaced bicondylar fracture of right tibia init"", value: 2}",
Injury  Lower leg , Displaced spiral fracture of shaft of left femur init,2,"{source:""Injury Lower leg"", target:""Displaced spiral fracture of shaft of left femur init"", value: 2}",
Injury  Lower leg , Displaced spiral fracture of shaft of right tibia init,2,"{source:""Injury Lower leg"", target:""Displaced spiral fracture of shaft of right tibia init"", value: 2}",
Injury  Lower leg , Erythema intertrigo,2,"{source:""Injury Lower leg"", target:""Erythema intertrigo"", value: 2}",
Injury  Lower leg , Laceration without foreign body left knee init encntr,2,"{source:""Injury Lower leg"", target:""Laceration without foreign body left knee init encntr"", value: 2}",
Injury  Lower leg , Non pressure chronic ulcer oth prt left foot w unsp severity,2,"{source:""Injury Lower leg"", target:""Non pressure chronic ulcer oth prt left foot w unsp severity"", value: 2}",
Injury  Lower leg , Oth fracture of shaft of left tibia init for clos fx,2,"{source:""Injury Lower leg"", target:""Oth fracture of shaft of left tibia init for clos fx"", value: 2}",
Injury  Lower leg , Other injury of unspecified body region,2,"{source:""Injury Lower leg"", target:""Other injury of unspecified body region"", value: 2}",
Injury  Lower leg , Pain in left leg,2,"{source:""Injury Lower leg"", target:""Pain in left leg"", value: 2}",
Injury  Lower leg , Pain in right leg,2,"{source:""Injury Lower leg"", target:""Pain in right leg"", value: 2}",
Injury  Lower leg , Pathological fracture left femur init encntr for fracture,2,"{source:""Injury Lower leg"", target:""Pathological fracture left femur init encntr for fracture"", value: 2}",
Injury  Lower leg , Sprain of unspecified site of right knee initial encounter,2,"{source:""Injury Lower leg"", target:""Sprain of unspecified site of right knee initial encounter"", value: 2}",
Injury  Lower leg , Type 2 diabetes mellitus with foot ulcer,2,"{source:""Injury Lower leg"", target:""Type 2 diabetes mellitus with foot ulcer"", value: 2}",
Injury  Lower leg , Unsp fracture of shaft of left tibia init for clos fx,2,"{source:""Injury Lower leg"", target:""Unsp fracture of shaft of left tibia init for clos fx"", value: 2}",
Injury  Neck , Anterior displaced Type II dens fracture init for clos fx,2,"{source:""Injury Neck"", target:""Anterior displaced Type II dens fracture init for clos fx"", value: 2}",
Injury  Neck , Cervicalgia,2,"{source:""Injury Neck"", target:""Cervicalgia"", value: 2}",
Injury  Not Otherwise Listed , Abrasion of right elbow initial encounter,2,"{source:""Injury Not Otherwise Listed"", target:""Abrasion of right elbow initial encounter"", value: 2}",
Injury  Not Otherwise Listed , Abrasion of scalp initial encounter,2,"{source:""Injury Not Otherwise Listed"", target:""Abrasion of scalp initial encounter"", value: 2}",
Injury  Not Otherwise Listed , Acute pain due to trauma,2,"{source:""Injury Not Otherwise Listed"", target:""Acute pain due to trauma"", value: 2}",
Injury  Not Otherwise Listed , Alcohol abuse uncomplicated,2,"{source:""Injury Not Otherwise Listed"", target:""Alcohol abuse uncomplicated"", value: 2}",
Injury  Not Otherwise Listed , Anemia unspecified,2,"{source:""Injury Not Otherwise Listed"", target:""Anemia unspecified"", value: 2}",
Injury  Not Otherwise Listed , Anterior dislocation of left humerus initial encounter,2,"{source:""Injury Not Otherwise Listed"", target:""Anterior dislocation of left humerus initial encounter"", value: 2}",
Injury  Not Otherwise Listed , Anterior displaced Type II dens fracture init for clos fx,2,"{source:""Injury Not Otherwise Listed"", target:""Anterior displaced Type II dens fracture init for clos fx"", value: 2}",
Injury  Not Otherwise Listed , Anxiety disorder unspecified,2,"{source:""Injury Not Otherwise Listed"", target:""Anxiety disorder unspecified"", value: 2}",
Injury  Not Otherwise Listed , Cervicalgia,2,"{source:""Injury Not Otherwise Listed"", target:""Cervicalgia"", value: 2}",
Injury  Not Otherwise Listed , Contusion of abdominal wall initial encounter,2,"{source:""Injury Not Otherwise Listed"", target:""Contusion of abdominal wall initial encounter"", value: 2}",
Injury  Not Otherwise Listed , Contusion of left foot initial encounter,2,"{source:""Injury Not Otherwise Listed"", target:""Contusion of left foot initial encounter"", value: 2}",
Injury  Not Otherwise Listed , Contusion of right lower leg initial encounter,2,"{source:""Injury Not Otherwise Listed"", target:""Contusion of right lower leg initial encounter"", value: 2}",
Injury  Not Otherwise Listed , Contusion of right shoulder initial encounter,2,"{source:""Injury Not Otherwise Listed"", target:""Contusion of right shoulder initial encounter"", value: 2}",
Injury  Not Otherwise Listed , Contusion of unspecified part of neck initial encounter,2,"{source:""Injury Not Otherwise Listed"", target:""Contusion of unspecified part of neck initial encounter"", value: 2}",
Injury  Not Otherwise Listed , Cutaneous abscess of buttock,2,"{source:""Injury Not Otherwise Listed"", target:""Cutaneous abscess of buttock"", value: 2}",
Injury  Not Otherwise Listed , Dislocation of internal left hip prosthesis init encntr,2,"{source:""Injury Not Otherwise Listed"", target:""Dislocation of internal left hip prosthesis init encntr"", value: 2}",
Injury  Not Otherwise Listed , Disp fx of medial malleolus of right tibia init for clos fx,2,"{source:""Injury Not Otherwise Listed"", target:""Disp fx of medial malleolus of right tibia init for clos fx"", value: 2}",
Injury  Not Otherwise Listed , Displaced bicondylar fracture of left tibia init,2,"{source:""Injury Not Otherwise Listed"", target:""Displaced bicondylar fracture of left tibia init"", value: 2}",
Injury  Not Otherwise Listed , Displaced comminuted fracture of left patella init,2,"{source:""Injury Not Otherwise Listed"", target:""Displaced comminuted fracture of left patella init"", value: 2}",
Injury  Not Otherwise Listed , Displaced comminuted fx shaft of humerus left arm init,2,"{source:""Injury Not Otherwise Listed"", target:""Displaced comminuted fx shaft of humerus left arm init"", value: 2}",
Injury  Not Otherwise Listed , Displaced midcervical fracture of right femur init,2,"{source:""Injury Not Otherwise Listed"", target:""Displaced midcervical fracture of right femur init"", value: 2}",
Injury  Not Otherwise Listed , Displaced oblique fracture of shaft of left femur init,2,"{source:""Injury Not Otherwise Listed"", target:""Displaced oblique fracture of shaft of left femur init"", value: 2}",
Injury  Not Otherwise Listed , Displaced oblique fx shaft of humerus right arm init,2,"{source:""Injury Not Otherwise Listed"", target:""Displaced oblique fx shaft of humerus right arm init"", value: 2}",
Injury  Not Otherwise Listed , Displaced pilon fracture of right tibia init for clos fx,2,"{source:""Injury Not Otherwise Listed"", target:""Displaced pilon fracture of right tibia init for clos fx"", value: 2}",
Injury  Not Otherwise Listed , Displaced spiral fracture of shaft of left femur init,2,"{source:""Injury Not Otherwise Listed"", target:""Displaced spiral fracture of shaft of left femur init"", value: 2}",
Injury  Not Otherwise Listed , Displaced trimalleol fx l low leg init for opn fx type I 2,2,"{source:""Injury Not Otherwise Listed"", target:""Displaced trimalleol fx l low leg init for opn fx type I 2"", value: 2}",
Injury  Not Otherwise Listed , Encephalopathy unspecified,2,"{source:""Injury Not Otherwise Listed"", target:""Encephalopathy unspecified"", value: 2}",
